fecha,mes,anio,linea,tipo_pago,afluencia
2022-04-20,Abril,2022,Línea 1,Gratuidad,4026
2022-04-20,Abril,2022,Línea 2,Prepago,60358
2022-04-20,Abril,2022,Línea 2,Gratuidad,8646
2022-04-21,Abril,2022,Línea 1,Prepago,36530
2022-04-21,Abril,2022,Línea 1,Gratuidad,4615
2022-04-21,Abril,2022,Línea 2,Prepago,59963
2022-04-21,Abril,2022,Línea 2,Gratuidad,7591
2022-04-22,Abril,2022,Línea 1,Prepago,37725
2022-04-22,Abril,2022,Línea 1,Gratuidad,3974
2022-04-22,Abril,2022,Línea 2,Prepago,62271
2022-04-22,Abril,2022,Línea 2,Gratuidad,8564
2022-04-23,Abril,2022,Línea 1,Prepago,37239
2022-04-23,Abril,2022,Línea 1,Gratuidad,4341
2022-04-23,Abril,2022,Línea 2,Prepago,61421
2022-04-23,Abril,2022,Línea 2,Gratuidad,6698
2022-04-24,Abril,2022,Línea 1,Prepago,27765
2022-04-24,Abril,2022,Línea 1,Gratuidad,3235
2022-04-24,Abril,2022,Línea 2,Prepago,44335
2022-04-24,Abril,2022,Línea 2,Gratuidad,5478
2022-04-25,Abril,2022,Línea 1,Prepago,43625
2022-04-25,Abril,2022,Línea 1,Gratuidad,4919
2022-04-25,Abril,2022,Línea 2,Prepago,63233
2022-04-25,Abril,2022,Línea 2,Gratuidad,8194
2022-04-26,Abril,2022,Línea 1,Prepago,43751
2022-04-26,Abril,2022,Línea 1,Gratuidad,4448
2022-04-26,Abril,2022,Línea 2,Prepago,63438
2022-04-26,Abril,2022,Línea 2,Gratuidad,8615
2022-04-27,Abril,2022,Línea 1,Prepago,42866
2022-04-27,Abril,2022,Línea 1,Gratuidad,4853
2022-04-27,Abril,2022,Línea 2,Prepago,64360
2022-04-27,Abril,2022,Línea 2,Gratuidad,8163
